"class","gender","outcome"
"high","male","no_interview"
"high","female","no_interview"
"low","male","no_interview"
"low","female","no_interview"
"high","male","no_interview"
"low","female","no_interview"
"low","female","no_interview"
"low","male","no_interview"
"low","male","no_interview"
"low","female","interview"
"high","male","no_interview"
"high","male","no_interview"
"low","male","no_interview"
"high","female","no_interview"
"low","male","no_interview"
"high","female","no_interview"
"low","male","no_interview"
"low","female","no_interview"
"high","female","no_interview"
"low","male","no_interview"
"low","female","no_interview"
"low","female","no_interview"
"low","male","no_interview"
"high","male","no_interview"
"high","male","no_interview"
"high","female","no_interview"
"high","male","interview"
"high","female","no_interview"
"low","female","no_interview"
"high","female","no_interview"
"high","female","no_interview"
"low","male","no_interview"
"high","female","no_interview"
"high","male","no_interview"
"low","male","no_interview"
"low","male","no_interview"
"low","male","no_interview"
"high","male","no_interview"
"low","male","no_interview"
"low","female","no_interview"
"low","male","no_interview"
"low","male","no_interview"
"low","male","no_interview"
"high","female","no_interview"
"high","female","no_interview"
"low","male","no_interview"
"high","male","interview"
"high","female","no_interview"
"low","male","no_interview"
"low","male","no_interview"
"high","female","no_interview"
"low","male","no_interview"
"high","female","no_interview"
"high","male","no_interview"
"low","female","no_interview"
"high","male","no_interview"
"high","male","no_interview"
"high","female","no_interview"
"low","female","no_interview"
"high","female","no_interview"
"low","female","no_interview"
"high","male","no_interview"
"low","female","no_interview"
"high","male","no_interview"
"high","female","no_interview"
"low","female","no_interview"
"high","female","no_interview"
"low","male","no_interview"
"low","female","interview"
"low","male","no_interview"
"low","female","no_interview"
"low","male","no_interview"
"low","female","no_interview"
"high","male","no_interview"
"low","female","no_interview"
"low","female","no_interview"
"low","male","no_interview"
"high","female","no_interview"
"low","male","no_interview"
"low","male","no_interview"
"high","female","no_interview"
"low","male","no_interview"
"low","male","no_interview"
"high","male","no_interview"
"low","male","no_interview"
"high","male","no_interview"
"high","female","no_interview"
"high","male","no_interview"
"high","male","no_interview"
"high","male","no_interview"
"high","male","no_interview"
"high","female","interview"
"high","female","no_interview"
"low","male","no_interview"
"low","male","no_interview"
"low","male","no_interview"
"high","female","no_interview"
"high","female","no_interview"
"low","male","no_interview"
"high","female","no_interview"
"high","female","no_interview"
"low","female","no_interview"
"high","male","no_interview"
"low","male","no_interview"
"low","female","no_interview"
"high","male","no_interview"
"low","female","no_interview"
"high","female","no_interview"
"low","male","no_interview"
"high","female","no_interview"
"low","female","no_interview"
"low","female","no_interview"
"high","male","no_interview"
"high","male","no_interview"
"high","male","no_interview"
"high","male","interview"
"low","male","no_interview"
"low","female","no_interview"
"high","male","no_interview"
"high","female","no_interview"
"low","male","no_interview"
"high","female","no_interview"
"low","female","no_interview"
"high","male","no_interview"
"low","female","no_interview"
"high","male","no_interview"
"low","female","no_interview"
"high","male","no_interview"
"high","male","no_interview"
"high","female","no_interview"
"high","female","no_interview"
"high","female","interview"
"low","female","no_interview"
"low","female","no_interview"
"low","male","no_interview"
"high","female","no_interview"
"low","male","no_interview"
"high","female","no_interview"
"low","male","no_interview"
"low","male","no_interview"
"high","female","no_interview"
"high","female","no_interview"
"high","male","no_interview"
"low","male","no_interview"
"high","female","no_interview"
"high","male","no_interview"
"low","female","no_interview"
"low","female","no_interview"
"low","female","interview"
"low","female","no_interview"
"low","male","no_interview"
"high","female","no_interview"
"low","female","no_interview"
"high","male","no_interview"
"low","female","no_interview"
"low","male","no_interview"
"low","female","no_interview"
"high","male","interview"
"high","male","no_interview"
"low","male","no_interview"
"low","male","no_interview"
"high","female","no_interview"
"high","male","no_interview"
"low","female","no_interview"
"high","female","no_interview"
"low","female","no_interview"
"high","male","interview"
"high","male","no_interview"
"high","female","no_interview"
"high","female","no_interview"
"high","female","no_interview"
"high","female","no_interview"
"low","male","no_interview"
"low","male","no_interview"
"low","male","no_interview"
"low","male","no_interview"
"high","female","no_interview"
"high","female","no_interview"
"low","female","no_interview"
"low","male","no_interview"
"low","male","no_interview"
"low","female","no_interview"
"high","female","no_interview"
"high","male","no_interview"
"low","male","no_interview"
"high","male","no_interview"
"high","female","no_interview"
"low","female","no_interview"
"low","female","no_interview"
"high","male","no_interview"
"low","male","no_interview"
"high","male","no_interview"
"high","male","interview"
"high","female","no_interview"
"high","male","no_interview"
"high","male","no_interview"
"low","male","no_interview"
"low","female","no_interview"
"high","male","no_interview"
"low","female","no_interview"
"high","male","no_interview"
"low","male","no_interview"
"high","male","no_interview"
"low","female","no_interview"
"low","male","no_interview"
"low","female","no_interview"
"high","male","no_interview"
"low","female","no_interview"
"low","male","no_interview"
"high","male","no_interview"
"high","female","no_interview"
"high","male","interview"
"high","male","no_interview"
"low","male","no_interview"
"low","female","no_interview"
"low","female","no_interview"
"low","female","no_interview"
"low","male","no_interview"
"low","female","no_interview"
"low","female","no_interview"
"high","female","no_interview"
"high","female","interview"
"low","female","no_interview"
"high","male","no_interview"
"high","male","no_interview"
"low","female","no_interview"
"high","male","no_interview"
"high","male","interview"
"low","female","no_interview"
"low","female","no_interview"
"high","female","no_interview"
"high","female","no_interview"
"high","female","no_interview"
"low","female","no_interview"
"low","male","no_interview"
"high","female","no_interview"
"high","male","no_interview"
"high","female","no_interview"
"high","female","no_interview"
"low","male","no_interview"
"low","male","no_interview"
"low","female","no_interview"
"high","male","no_interview"
"low","female","no_interview"
"low","female","no_interview"
"low","male","no_interview"
"low","male","no_interview"
"low","female","no_interview"
"high","female","no_interview"
"low","female","no_interview"
"high","male","no_interview"
"high","male","no_interview"
"low","female","no_interview"
"high","male","no_interview"
"high","female","no_interview"
"low","male","no_interview"
"high","male","no_interview"
"low","female","no_interview"
"low","female","interview"
"low","male","no_interview"
"low","female","no_interview"
"low","male","no_interview"
"high","female","no_interview"
"low","male","no_interview"
"low","male","no_interview"
"high","male","interview"
"low","female","no_interview"
"high","male","no_interview"
"high","female","no_interview"
"high","male","interview"
"low","male","no_interview"
"low","male","no_interview"
"low","male","interview"
"high","female","no_interview"
"high","female","no_interview"
"low","female","no_interview"
"low","male","no_interview"
"high","male","no_interview"
"low","female","no_interview"
"high","male","no_interview"
"high","male","interview"
"low","male","no_interview"
"high","female","no_interview"
"low","female","no_interview"
"high","male","no_interview"
"high","female","no_interview"
"high","female","no_interview"
"high","female","no_interview"
"high","female","no_interview"
"high","male","interview"
"high","male","no_interview"
"high","female","no_interview"
"low","female","no_interview"
"low","female","no_interview"
"high","female","no_interview"
"high","male","no_interview"
"high","female","no_interview"
"high","male","no_interview"
"high","male","interview"
"high","male","no_interview"
"high","female","no_interview"
"low","female","interview"
"low","female","no_interview"
"high","female","no_interview"
"high","female","no_interview"
"low","female","no_interview"
"low","male","no_interview"
"high","male","no_interview"
"low","male","no_interview"
"low","male","no_interview"
"high","male","no_interview"
"high","female","no_interview"
"high","female","no_interview"
"low","female","no_interview"
"low","female","no_interview"
"low","female","no_interview"
