"stamped","found_coin","gender","mailed_letter"
"no","coin","male","yes"
"no","coin","male","yes"
"no","coin","male","yes"
"no","coin","male","yes"
"no","coin","male","no"
"no","coin","female","yes"
"no","coin","female","yes"
"no","coin","female","yes"
"no","no_coin","male","no"
"no","no_coin","male","no"
"no","no_coin","male","no"
"no","no_coin","male","no"
"no","no_coin","male","no"
"no","no_coin","male","no"
"no","no_coin","female","yes"
"no","no_coin","female","no"
"no","no_coin","female","no"
"no","no_coin","female","no"
"yes","coin","male","yes"
"yes","coin","male","yes"
"yes","coin","male","yes"
"yes","coin","male","yes"
"yes","coin","male","yes"
"yes","coin","male","yes"
"yes","coin","male","no"
"yes","coin","female","yes"
"yes","coin","female","yes"
"yes","coin","female","yes"
"yes","coin","female","yes"
"yes","no_coin","male","yes"
"yes","no_coin","male","yes"
"yes","no_coin","male","yes"
"yes","no_coin","male","yes"
"yes","no_coin","male","no"
"yes","no_coin","male","no"
"yes","no_coin","male","no"
"yes","no_coin","male","no"
"yes","no_coin","female","no"
"yes","no_coin","female","no"
"yes","no_coin","female","no"
"yes","no_coin","female","no"
"yes","no_coin","female","no"
