"first_name","last_name","team","team_abbr","position","number","height"
"Alex","Abrines","Thunder","OKC","Guard","8",78
"Jaylen","Adams","Hawks","ATL","Guard","10",74
"Steven","Adams","Thunder","OKC","Center","12",84
"Bam","Adebayo","Heat","MIA","Center-Forward","13",82
"DeVaughn","Akoon-Purcell","Nuggets","DEN","Guard-Forward","23",78
"LaMarcus","Aldridge","Spurs","SAS","Forward","12",83
"Rawle","Alkins","Bulls","CHI","Guard","20",77
"Grayson","Allen","Jazz","UTA","Guard","24",77
"Jarrett","Allen","Nets","BKN","Center","31",83
"Al-Farouq","Aminu","Blazers","POR","Forward","8",81
"Justin","Anderson","Hawks","ATL","Guard-Forward","1",78
"Kyle","Anderson","Grizzlies","MEM","Forward","1",81
"Ryan","Anderson","Suns","PHX","Forward","15",82
"Ike","Anigbogu","Pacers","IND","Center","13",82
"Giannis","Antetokounmpo","Bucks","MIL","Forward","34",83
"Kostas","Antetokounmpo","Mavericks","DAL","Forward","37",82
"Carmelo","Anthony","Rockets","HOU","Forward","7",80
"OG","Anunoby","Raptors","TOR","Forward","3",80
"Ryan","Arcidiacono","Bulls","CHI","Guard","51",75
"Trevor","Ariza","Suns","PHX","Forward","3",80
"D.J.","Augustin","Magic","ORL","Guard","14",72
"Deandre","Ayton","Suns","PHX","Center","22",85
"Dwayne","Bacon","Hornets","CHA","Guard-Forward","7",79
"Marvin","Bagley III","Kings","SAC","Forward","35",83
"Ron","Baker","Knicks","NYK","Guard","31",76
"Wade","Baldwin IV","Blazers","POR","Guard","2",76
"Lonzo","Ball","Lakers","LAL","Guard","2",78
"Mo","Bamba","Magic","ORL","Center","5",84
"J.J.","Barea","Mavericks","DAL","Guard","5",72
"Harrison","Barnes","Mavericks","DAL","Forward","40",80
"Will","Barton","Nuggets","DEN","Guard","5",78
"Keita","Bates-Diop","Timberwolves","MIN","Forward","31",81
"Nicolas","Batum","Hornets","CHA","Forward-Guard","5",80
"Jerryd","Bayless","Timberwolves","MIN","Guard","8",75
"Aron","Baynes","Celtics","BOS","Center-Forward","46",82
"Kent","Bazemore","Hawks","ATL","Guard","24",77
"Bradley","Beal","Wizards","WAS","Guard","3",77
"Malik","Beasley","Nuggets","DEN","Guard","25",77
"Michael","Beasley","Lakers","LAL","Forward","11",81
"Marco","Belinelli","Spurs","SAS","Guard-Forward","18",77
"Jordan","Bell","Warriors","GSW","Forward","2",81
"DeAndre'","Bembry","Hawks","ATL","Forward","95",78
"Dragan","Bender","Suns","PHX","Forward","35",85
"Davis","Bertans","Spurs","SAS","Forward","42",82
"Patrick","Beverley","Clippers","LAC","Guard","21",73
"Khem","Birch","Magic","ORL","Center","24",81
"Jabari","Bird","Celtics","BOS","Guard","",78
"Bismack","Biyombo","Hornets","CHA","Center","8",81
"Nemanja","Bjelica","Kings","SAC","Forward","88",82
"Antonio","Blakeney","Bulls","CHI","Guard","9",76
"Eric","Bledsoe","Bucks","MIL","Guard","6",73
"Trevon","Bluiett","Pelicans","NOP","Guard-Forward","5",78
"Bogdan","Bogdanovic","Kings","SAC","Guard","8",78
"Bojan","Bogdanovic","Pacers","IND","Forward","44",80
"Jonah","Bolden","Sixers","PHI","Forward","43",82
"Isaac","Bonga","Lakers","LAL","Guard","17",80
"Devin","Booker","Suns","PHX","Guard","1",78
"Chris","Boucher","Raptors","TOR","Forward","25",82
"Avery","Bradley","Clippers","LAC","Guard","11",74
"Tony","Bradley","Jazz","UTA","Center","13",82
"Mikal","Bridges","Suns","PHX","Forward","25",79
"Miles","Bridges","Hornets","CHA","Forward","0",79
"Isaiah","Briscoe","Magic","ORL","Guard","13",75
"Ryan","Broekhoff","Mavericks","DAL","Guard-Forward","45",79
"Malcolm","Brogdon","Bucks","MIL","Guard","13",77
"Dillon","Brooks","Grizzlies","MEM","Guard-Forward","24",78
"MarShon","Brooks","Grizzlies","MEM","Guard","8",77
"Troy","Brown Jr.","Wizards","WAS","Forward","6",79
"Bruce","Brown","Pistons","DET","Guard","6",77
"Jaylen","Brown","Celtics","BOS","Guard","7",79
"Lorenzo","Brown","Raptors","TOR","Guard","4",77
"Sterling","Brown","Bucks","MIL","Guard","23",78
"Jalen","Brunson","Mavericks","DAL","Guard","13",75
"Thomas","Bryant","Wizards","WAS","Center","13",83
"Reggie","Bullock","Pistons","DET","Guard-Forward","25",79
"Trey","Burke","Knicks","NYK","Guard","23",73
"Alec","Burks","Jazz","UTA","Guard","10",78
"Deonte","Burton","Thunder","OKC","Guard","30",77
"Jimmy","Butler","Sixers","PHI","Guard-Forward","23",80
"Jose","Calderon","Pistons","DET","Guard","81",75
"Kentavious","Caldwell-Pope","Lakers","LAL","Guard","1",77
"Isaiah","Canaan","Suns","PHX","Guard","0",72
"Clint","Capela","Rockets","HOU","Center","15",82
"DeMarre","Carroll","Nets","BKN","Forward","9",80
"Wendell","Carter Jr.","Bulls","CHI","Forward","34",82
"Michael","Carter-Williams","Rockets","HOU","Guard","1",78
"Jevon","Carter","Grizzlies","MEM","Guard","3",74
"Vince","Carter","Hawks","ATL","Forward-Guard","15",78
"Alex","Caruso","Lakers","LAL","Guard","4",77
"Omri","Casspi","Grizzlies","MEM","Forward","18",81
"Willie","Cauley-Stein","Kings","SAC","Center","00",84
"Troy","Caupain","Magic","ORL","Guard","3",76
"Tyler","Cavanaugh","Jazz","UTA","Forward","34",81
"Tyson","Chandler","Lakers","LAL","Center","5",85
"Wilson","Chandler","Sixers","PHI","Forward","22",81
"Joe","Chealey","Hornets","CHA","Guard","31",75
"Marquese","Chriss","Rockets","HOU","Forward","0",82
"Gary","Clark","Rockets","HOU","Forward","6",80
"Ian","Clark","Pelicans","NOP","Guard","2",75
"Jordan","Clarkson","Cavaliers","CLE","Guard","8",77
"John","Collins","Hawks","ATL","Forward-Center","20",82
"Zach","Collins","Blazers","POR","Forward-Center","33",84
"Darren","Collison","Pacers","IND","Guard","2",72
"Mike","Conley","Grizzlies","MEM","Guard","11",73
"Pat","Connaughton","Bucks","MIL","Guard","24",76
"Quinn","Cook","Warriors","GSW","Guard","4",74
"DeMarcus","Cousins","Warriors","GSW","Center","0",83
"Robert","Covington","Timberwolves","MIN","Forward","33",81
"Allen","Crabbe","Nets","BKN","Guard-Forward","33",78
"Torrey","Craig","Nuggets","DEN","Forward","3",79
"Jamal","Crawford","Suns","PHX","Guard","11",77
"Jae","Crowder","Jazz","UTA","Forward","99",78
"Dante","Cunningham","Spurs","SAS","Forward","33",80
"Seth","Curry","Blazers","POR","Guard","31",74
"Stephen","Curry","Warriors","GSW","Guard","30",75
"Troy","Daniels","Suns","PHX","Guard","30",76
"Anthony","Davis","Pelicans","NOP","Forward-Center","23",82
"Ed","Davis","Nets","BKN","Center","17",82
"Tyler","Davis","Thunder","OKC","Center","34",82
"Dewayne","Dedmon","Hawks","ATL","Center","14",84
"Sam","Dekker","Cavaliers","CLE","Forward","15",81
"Angel","Delgado","Clippers","LAC","Center","31",82
"Matthew","Dellavedova","Bucks","MIL","Guard","8",76
"Luol","Deng","Timberwolves","MIN","Forward","9",81
"DeMar","DeRozan","Spurs","SAS","Guard","10",79
"Marcus","Derrickson","Warriors","GSW","Forward","32",79
"Cheick","Diallo","Pelicans","NOP","Forward","13",81
"Hamidou","Diallo","Thunder","OKC","Guard","6",77
"Gorgui","Dieng","Timberwolves","MIN","Center","5",83
"Spencer","Dinwiddie","Nets","BKN","Guard","8",78
"Donte","DiVincenzo","Bucks","MIL","Guard","9",76
"Luka","Doncic","Mavericks","DAL","Forward-Guard","77",79
"Tyler","Dorsey","Hawks","ATL","Guard","2",77
"Damyean","Dotson","Knicks","NYK","Guard","21",78
"PJ","Dozier","Celtics","BOS","Guard-Forward","50",78
"Goran","Dragic","Heat","MIA","Guard","7",75
"Andre","Drummond","Pistons","DET","Center","0",83
"Jared","Dudley","Nets","BKN","Forward","6",79
"Kris","Dunn","Bulls","CHI","Guard","32",76
"Kevin","Durant","Warriors","GSW","Forward","35",81
"Trevon","Duval","Bucks","MIL","Guard","0",74
"Vincent","Edwards","Rockets","HOU","Forward","12",80
"Henry","Ellenson","Pistons","DET","Forward","8",83
"Wayne","Ellington","Heat","MIA","Guard","2",77
"Joel","Embiid","Sixers","PHI","Forward-Center","21",84
"James","Ennis III","Rockets","HOU","Forward","8",79
"Drew","Eubanks","Spurs","SAS","Forward","14",82
"Jacob","Evans","Warriors","GSW","Guard","10",78
"Keenan","Evans","Pistons","DET","Guard","12",75
"Tyreke","Evans","Pacers","IND","Guard","12",78
"Dante","Exum","Jazz","UTA","Guard","11",78
"Kenneth","Faried","Nets","BKN","Forward-Center","35",80
"Derrick","Favors","Jazz","UTA","Forward-Center","15",82
"Cristiano","Felicio","Bulls","CHI","Forward-Center","6",82
"Raymond","Felton","Thunder","OKC","Guard","2",73
"Terrance","Ferguson","Thunder","OKC","Guard","23",79
"Yogi","Ferrell","Kings","SAC","Guard","3",72
"Dorian","Finney-Smith","Mavericks","DAL","Forward","10",80
"Bryn","Forbes","Spurs","SAS","Guard","11",75
"Evan","Fournier","Magic","ORL","Guard-Forward","10",79
"De'Aaron","Fox","Kings","SAC","Guard","5",75
"Melvin","Frazier Jr.","Magic","ORL","Guard-Forward","35",78
"Tim","Frazier","Pelicans","NOP","Guard","10",73
"Channing","Frye","Cavaliers","CLE","Forward-Center","9",84
"Markelle","Fultz","Sixers","PHI","Guard","20",76
"Wenyen","Gabriel","Kings","SAC","Forward","32",81
"Danilo","Gallinari","Clippers","LAC","Forward","8",82
"Langston","Galloway","Pistons","DET","Guard","9",74
"Marc","Gasol","Grizzlies","MEM","Center","33",85
"Pau","Gasol","Spurs","SAS","Center-Forward","16",84
"Rudy","Gay","Spurs","SAS","Forward","22",80
"Paul","George","Thunder","OKC","Forward","13",81
"Taj","Gibson","Timberwolves","MIN","Forward","67",81
"Harry","Giles III","Kings","SAC","Forward-Center","20",82
"Shai","Gilgeous-Alexander","Clippers","LAC","Guard","2",78
"Rudy","Gobert","Jazz","UTA","Center","27",85
"Aaron","Gordon","Magic","ORL","Forward","00",81
"Eric","Gordon","Rockets","HOU","Guard","10",76
"Marcin","Gortat","Clippers","LAC","Center","13",83
"Devonte'","Graham","Hornets","CHA","Guard","4",74
"Treveon","Graham","Nets","BKN","Forward","21",77
"Jerami","Grant","Thunder","OKC","Forward","9",81
"Jerian","Grant","Magic","ORL","Guard","22",76
"Danny","Green","Raptors","TOR","Guard-Forward","14",78
"Draymond","Green","Warriors","GSW","Forward","23",79
"Gerald","Green","Rockets","HOU","Guard-Forward","14",79
"JaMychal","Green","Grizzlies","MEM","Forward","0",81
"Jeff","Green","Wizards","WAS","Forward","32",81
"Blake","Griffin","Pistons","DET","Forward","23",82
"Daniel","Hamilton","Hawks","ATL","Guard-Forward","5",79
"Tim","Hardaway Jr.","Knicks","NYK","Guard","3",78
"James","Harden","Rockets","HOU","Guard","13",77
"Maurice","Harkless","Blazers","POR","Forward","4",81
"Montrezl","Harrell","Clippers","LAC","Forward-Center","5",80
"Devin","Harris","Mavericks","DAL","Guard","34",75
"Gary","Harris","Nuggets","DEN","Guard","14",76
"Joe","Harris","Nets","BKN","Forward-Guard","12",78
"Andrew","Harrison","Cavaliers","CLE","Guard","55",78
"Shaquille","Harrison","Bulls","CHI","Guard","3",76
"Tobias","Harris","Clippers","LAC","Forward","34",81
"Isaiah","Hartenstein","Rockets","HOU","Forward-Center","55",84
"Josh","Hart","Lakers","LAL","Guard","3",77
"Udonis","Haslem","Heat","MIA","Forward","40",80
"Gordon","Hayward","Celtics","BOS","Forward","20",80
"John","Henson","Bucks","MIL","Forward","31",83
"Juancho","Hernangomez","Nuggets","DEN","Forward","41",81
"Willy","Hernangomez","Hornets","CHA","Center","41",83
"Mario","Hezonja","Knicks","NYK","Forward","8",80
"Isaiah","Hicks","Knicks","NYK","Forward","4",81
"Buddy","Hield","Kings","SAC","Guard","24",76
"George","Hill","Cavaliers","CLE","Guard","3",75
"Solomon","Hill","Pelicans","NOP","Forward","44",79
"Aaron","Holiday","Pacers","IND","Guard","3",73
"Jrue","Holiday","Pelicans","NOP","Guard","11",76
"Justin","Holiday","Bulls","CHI","Forward-Guard","7",78
"Rondae","Hollis-Jefferson","Nets","BKN","Forward","24",79
"Richaun","Holmes","Suns","PHX","Forward-Center","21",82
"Rodney","Hood","Cavaliers","CLE","Guard","1",80
"Al","Horford","Celtics","BOS","Center-Forward","42",82
"Dwight","Howard","Wizards","WAS","Center","21",83
"Kevin","Huerter","Hawks","ATL","Guard","3",79
"Chandler","Hutchison","Bulls","CHI","Forward","15",79
"Serge","Ibaka","Raptors","TOR","Forward-Center","9",82
"Andre","Iguodala","Warriors","GSW","Guard-Forward","9",78
"Ersan","Ilyasova","Bucks","MIL","Forward","77",82
"Joe","Ingles","Jazz","UTA","Forward","2",80
"Brandon","Ingram","Lakers","LAL","Forward","14",81
"Kyrie","Irving","Celtics","BOS","Guard","11",75
"Jonathan","Isaac","Magic","ORL","Forward","1",82
