"data_set","obs"
1,-0.01
1,1.39
1,1.598
1,0.383
1,-0.084
1,-0.475
1,-0.105
1,-1.062
1,0.607
1,0.539
1,0.871
1,0.45
1,-0.039
1,1.256
1,0.55
1,-0.333
1,-0.252
1,1.187
1,-0.916
1,0.677
1,-1.324
1,-1.773
1,1.813
1,0.023
1,-2.291
1,-1.361
1,0.642
1,0.249
1,-0.132
1,1.345
1,0.629
1,-1.274
1,0.435
1,0.043
1,0.55
1,-0.465
1,0.756
1,-0.396
1,-0.767
1,1.348
2,-0.78
2,-0.552
2,-0.027
2,0.33
2,-0.964
2,0.865
2,-0.112
2,0.075
2,-0.392
2,0.365
2,-1.738
2,0.491
2,-0.245
2,0.436
2,0.016
2,-0.202
2,1.322
2,0.515
2,0.333
2,-0.28
2,-0.843
2,0.181
2,-0.284
2,-0.409
2,0.542
2,0.117
2,-0.194
2,-0.415
2,1.362
2,0.826
2,1.099
2,-1.243
2,-0.265
2,-0.387
2,0.901
2,0.706
2,-0.353
2,-1.05
2,0.081
2,-1.102
2,-2.705
2,-0.142
2,-0.608
2,0.661
2,-0.616
2,1.025
2,-1.384
2,0.337
2,1.14
2,0.523
2,-0.662
2,0.19
2,1.468
2,2.38
2,-0.351
2,-2.125
2,1.141
2,1.149
2,-0.448
2,1.166
2,-0.269
2,-0.145
2,-1.319
2,-0.445
2,0.34
2,-1.789
2,-0.626
2,-1.302
2,2.441
2,-2.016
2,0.333
2,-0.019
2,0.457
2,-0.706
2,0.236
2,0.496
2,-0.02
2,-0.228
2,-1.756
2,-1.309
2,0.564
2,1.597
2,-0.172
2,-0.369
2,0.478
2,-0.854
2,-0.52
2,-0.045
2,1.654
2,1.122
2,-0.155
2,0.281
2,0.205
2,0.096
2,-2.303
2,-1.399
2,-0.877
2,-1.205
2,0.02
2,0.563
3,0.673
3,-0.538
3,-0.703
3,-0.004
3,-1.395
3,-0.354
3,0.415
3,1.097
3,0.74
3,0.657
3,-0.759
3,0.415
3,2.094
3,-0.662
3,-0.161
3,0.293
3,0.057
3,-1.487
3,-1.822
3,1.192
3,2.186
3,-0.26
3,0.453
3,-0.267
3,-0.049
3,-1.075
3,-0.959
3,-2.338
3,0.512
3,2.365
3,0.56
3,-0.812
3,0.363
3,-0.731
3,-0.644
3,-0.448
3,-0.024
3,-0.024
3,-1.133
3,-0.692
3,1.233
3,0.566
3,1.109
3,-2.215
3,0.494
3,0.011
3,-2.785
3,-0.59
3,-0.895
3,-1.084
3,-0.848
3,-0.129
3,1.132
3,-0.851
3,-0.419
3,-0.232
3,-0.789
3,-2.018
3,1.302
3,-1.276
3,-0.592
3,1.578
3,0.474
3,-0.437
3,0.3
3,0.145
3,0.263
3,-2.189
3,-0.265
3,-0.02
3,0.85
3,1.523
3,0.938
3,0.651
3,-1.866
3,-2.202
3,0.083
3,-0.816
3,1.082
3,1.448
3,-1.563
3,-0.145
3,-1.168
3,1.633
3,-0.472
3,0.173
3,-1.592
3,0.623
3,-0.674
3,-1.336
3,-0.059
3,0.209
3,0.152
3,-0.345
3,-0.686
3,2.494
3,-0.616
3,0.615
3,-0.718
3,1.748
3,0.011
3,-0.936
3,-0.196
3,0.839
3,-0.099
3,0.216
3,-0.036
3,-0.687
3,1.126
3,-0.024
3,-0.239
3,1.475
3,1.548
3,-1.254
3,-1.513
3,0.635
3,0.482
3,1.068
3,-0.814
3,1.171
3,-0.509
3,-0.733
3,-0.32
3,0.05
3,-0.359
3,-0.22
3,0.269
3,1.581
3,-0.967
3,1.725
3,0.322
3,-0.176
3,-0.655
3,2.362
3,-0.004
3,-1.209
3,0.622
3,-1.125
3,1.767
3,-0.053
3,0.066
3,0.049
3,0.45
3,0.302
3,-0.172
3,-1.237
3,0.072
3,-1.007
3,0.312
3,-0.647
3,-0.759
3,0.753
3,-1.179
3,0.984
3,1.947
3,-0.653
3,-0.34
3,-0.669
3,-0.066
3,-1.774
3,-1.409
3,-0.875
3,-0.225
3,-0.775
3,-0.657
3,0.812
3,2.278
3,0.25
3,1.206
3,-0.646
3,-0.693
3,-0.545
3,-1.44
3,-1.548
3,-0.924
3,0.408
3,1.135
3,1.173
3,1.472
3,-0.578
3,-0.04
3,0.422
3,-0.214
3,0.983
3,-1.605
