"effective_date","state","region","ado","city","county","facility_name","ownership","use","location_id","site_number","arp_latitude","arp_longitude","cert_type_date"
2018-07-19,"AK","AAL","NONE","ADAK ISLAND","ALEUTIANS WEST","ADAK","PU","PU","ADK","50009.*A","51-53-00.8954N","176-38-32.9277W","I A S 04/2005"
2018-07-19,"AK","AAL","NONE","AKHIOK","KODIAK ISLAND","AKHIOK","PU","PU","AKK","50016.1*A","56-56-19.2870N","154-10-57.2000W",NA
2018-07-19,"AK","AAL","NONE","AKIACHAK","BETHEL","AKIACHAK","PU","PU","Z13","50017.*A","60-54-49.7150N","161-29-35.9850W",NA
2018-07-19,"AK","AAL","NONE","AKIACHAK","BETHEL","AKIACHAK","PU","PU","KKI","50017.1*C","60-54-28.3130N","161-26-06.2780W",NA
2018-07-19,"AK","AAL","NONE","AKIAK","BETHEL","AKIAK","PU","PU","AKI","50020.*A","60-54-10.4300N","161-13-50.1000W",NA
2018-07-19,"AK","AAL","NONE","AKUTAN","ALEUTIANS EAST","AKUTAN","PU","PU","KQA","50022.*C","54-08-02.0400N","165-46-42.1800W",NA
2018-07-19,"AK","AAL","NONE","AKUTAN","ALEUTIANS EAST","AKUTAN","PU","PU","7AK","50022.1*A","54-08-40.6000N","165-36-14.7900W",NA
2018-07-19,"AK","AAL","NONE","ALAKANUK","KUSILVAK","ALAKANUK","PU","PU","AUK","50024.1*A","62-40-59.0000N","164-43-19.9000W",NA
2018-07-19,"AK","AAL","NONE","ALEKNAGIK","BRISTOL BAY","ALEKNAGIK","PR","PU","Z33","50027.52*C","59-16-26.3210N","158-37-24.9210W",NA
2018-07-19,"AK","AAL","NONE","ALEKNAGIK","DILLINGHAM","ALEKNAGIK /NEW","PU","PU","5A8","50027.53*A","59-16-57.2000N","158-37-04.3200W",NA
2018-07-19,"AK","AAL","NONE","ALEKNAGIK","BRISTOL BAY","ALEKNAGIK MISSION STRIP","PR","PR","4AK7","50027.6*A","59-16-51.3240N","158-35-49.9210W",NA
2018-07-19,"AK","AAL","NONE","ALEKNAGIK","BRISTOL BAY","TRIPOD","PU","PU","Z25","50027.51*A","59-15-47.3250N","158-33-27.9190W",NA
2018-07-19,"AK","AAL","NONE","ALLAKAKET","YUKON-KOYUKUK","ALLAKAKET","PU","PU","6A8","50029.1*A","66-33-06.6000N","152-37-19.8000W",NA
2018-07-19,"AK","AAL","NONE","AMBLER","NORTHWEST ARCTIC","AMBLER","PU","PU","AFM","50029.61*A","67-06-22.3282N","157-51-25.8151W",NA
2018-07-19,"AK","AAL","NONE","AMERICAN CREEK","YUKON-KOYUKUK","AMERICAN CREEK","PU","PU","80A","50031.*A","65-06-14.3350N","151-10-38.0400W",NA
2018-07-19,"AK","AAL","NONE","AMOOK BAY","KODIAK ISLAND","AMOOK BAY","PR","PR","AK81","50031.5*C","57-28-17.3770N","153-48-55.2980W",NA
2018-07-19,"AK","AAL","NONE","ANAKTUVUK PASS","YUKON-KOYUKUK","ANAKTUVUK PASS","PU","PU","AKP","50032.*A","68-08-01.0000N","151-44-36.0000W",NA
2018-07-19,"AK","AAL","NONE","ANCHOR POINT","KENAI PENINSULA","ANCHOR RIVER AIRPARK","PR","PR","AK00","50037.3*A","59-47-48.0000N","151-51-48.0000W",NA
2018-07-19,"AK","AAL","NONE","ANCHOR POINT","SEWARD","LOWELL FIELD","PR","PR","00AK","50037.31*A","59-56-56.0000N","151-41-32.0000W",NA
2018-07-19,"AK","AAL","NONE","ANCHORAGE","ANCHORAGE","ALASKA RGNL HOSPITAL","PU","PU","2OK","50033.1*H","61-12-45.7300N","149-49-35.7000W",NA
