"name","party","state","money","phone_spy_vote"
"Howard P. Buck McKeon","R","CA",526600,"continue_allowing_mass_surveillance"
"C.A. Dutch Ruppersberger","D","MD",220550,"continue_allowing_mass_surveillance"
"C. W. Bill Young","R","FL",216860,"continue_allowing_mass_surveillance"
"Mo Brooks","R","AL",195020,"continue_allowing_mass_surveillance"
"David Adam Smith","D","WA",186500,"continue_allowing_mass_surveillance"
"Kay Granger","R","TX",172950,"continue_allowing_mass_surveillance"
"William Mac Thornberry","R","TX",159600,"continue_allowing_mass_surveillance"
"Robert Wittman","R","VA",153950,"continue_allowing_mass_surveillance"
"Jim Moran","D","VA",152500,"rein_in_phone_dragnet"
"Robert Aderholt","R","AL",149500,"continue_allowing_mass_surveillance"
"Harold Hal Rogers","R","KY",146250,"continue_allowing_mass_surveillance"
"Steny H. Hoyer","D","MD",142700,"continue_allowing_mass_surveillance"
"Mike D. Rogers","R","AL",136700,"continue_allowing_mass_surveillance"
"Duncan Hunter","R","CA",136350,"continue_allowing_mass_surveillance"
"John A. Boehner","R","OH",131100,"continue_allowing_mass_surveillance"
"Joe Courtney","D","CT",130500,"rein_in_phone_dragnet"
"Mike Turner","R","OH",127775,"continue_allowing_mass_surveillance"
"Rodney Frelinghuysen","R","NJ",125275,"continue_allowing_mass_surveillance"
"J. Randy Forbes","R","VA",122800,"continue_allowing_mass_surveillance"
"E. Rigell","R","VA",122349,"continue_allowing_mass_surveillance"
"Gerry Connolly","D","VA",122000,"rein_in_phone_dragnet"
"Jim Langevin","D","RI",119750,"continue_allowing_mass_surveillance"
"Rob Andrews","D","NJ",113200,"continue_allowing_mass_surveillance"
"Mike Rogers","R","MI",109750,"continue_allowing_mass_surveillance"
"Jack Kingston","R","GA",109500,"rein_in_phone_dragnet"
"Jeff Miller","R","FL",109250,"continue_allowing_mass_surveillance"
"Eric Cantor","R","VA",102900,"continue_allowing_mass_surveillance"
"Jon Runyan","R","NJ",100348,"continue_allowing_mass_surveillance"
"Addison Joe Wilson","R","SC",100100,"rein_in_phone_dragnet"
"Ken Calvert","R","CA",99000,"continue_allowing_mass_surveillance"
"Mike Coffman","R","CO",96400,"rein_in_phone_dragnet"
"Douglas Mike McIntyre","D","NC",95124,"continue_allowing_mass_surveillance"
"Loretta Sanchez","D","CA",95000,"rein_in_phone_dragnet"
