"treatment","regress"
"pure_ethanol_16x","yes"
"pure_ethanol_16x","yes"
"pure_ethanol_16x","yes"
"pure_ethanol_16x","yes"
"pure_ethanol_16x","no"
"pure_ethanol_16x","no"
"pure_ethanol_16x","no"
"pure_ethanol_16x","no"
"pure_ethanol_16x","no"
"pure_ethanol_16x","no"
"pure_ethanol_16x","no"
"pure_ethanol_16x","no"
"pure_ethanol","no"
"pure_ethanol","no"
"pure_ethanol","no"
"pure_ethanol","no"
"pure_ethanol","no"
"ethyl_cellulose","yes"
"ethyl_cellulose","yes"
"ethyl_cellulose","yes"
"ethyl_cellulose","yes"
"ethyl_cellulose","yes"
"ethyl_cellulose","yes"
"ethyl_cellulose","no"
