"data_set","obs"
1,94.26
1,79.54
1,68.06
1,63.96
1,68.19
1,89.73
1,85.41
1,76.29
1,87.96
1,87.32
1,77.23
1,58.01
1,82.76
1,80.17
1,111.07
1,88.07
1,68.12
1,87.58
1,78.14
1,39.64
1,54.84
1,84.88
1,77.49
1,91.56
1,112.59
1,97.78
1,92.86
1,100.78
1,88.17
1,71.69
1,86.64
1,80.79
1,64.77
1,103.2
1,84.88
1,69.51
1,60.65
1,68.41
1,80.48
1,71.39
1,84.21
1,87.66
1,78.76
1,74.04
1,101.89
1,89.83
1,74.83
1,84.47
1,77.82
1,88.07
1,79.19
1,58.31
1,96.49
1,4.27
1,81.02
1,80.36
1,69.74
1,77.78
1,78.58
1,62.12
1,116.55
1,83.32
1,103.85
1,90.29
1,86.96
1,71.35
1,119.21
1,82.68
1,63.13
1,109.77
1,30.63
1,93.48
1,97.25
1,56.43
1,94.07
1,74.97
1,105.69
1,76.5
1,89.74
1,47.85
1,92.37
1,128.92
1,70.12
1,74.07
1,92.88
1,81.49
1,69.54
1,70.66
1,88.6
1,92.74
1,103.38
1,109.85
1,83.35
1,94.64
1,74.3
1,93.15
1,62.33
1,72.77
1,75.63
1,91.18
2,10.41
2,8.256
2,9.035
2,8.487
2,7.985
2,12.801
2,8.367
2,8.619
2,10.431
2,9.883
2,12.596
2,9.962
2,12.641
2,11.221
2,12.362
2,8.111
2,5.772
2,11.269
2,9.259
2,12.357
2,8.928
2,8.173
2,6.02
2,6.59
2,10.582
2,9.163
2,5.017
2,7.32
2,8.195
2,8.181
2,12.547
2,9.042
2,13.811
2,7.195
2,9.215
2,9.873
2,11.662
2,10.123
2,7.784
2,9.383
2,8.754
2,10.248
2,8.332
2,9.878
2,11.794
2,8.868
2,11.171
2,4.703
2,9.362
2,10.648
3,-2.271
3,-2.205
3,-2.516
3,-1.583
3,-2.641
3,-1.948
3,-2.109
3,-1.847
3,-2.484
3,-2.523
3,-1.458
3,-1.544
3,-0.976
3,-1.652
3,-1.894
3,-1.781
3,-1.788
3,-2.733
3,-2.422
3,-1.015
3,-1.939
3,-1.381
3,-1.754
3,-1.358
3,-1.77
3,-1.46
3,-2.018
3,-2.659
3,-2.137
3,-2.064
3,-2.503
3,-1.969
3,-1.309
3,-2.121
3,-2.247
3,-1.361
3,-2.423
3,-1.846
3,-1.851
3,-2.164
3,-2.579
3,-2.094
3,-1.758
3,-2.553
3,-2.175
3,-2.037
3,-2.134
3,-1.728
3,-2.008
3,-2.269
3,-1.962
3,-2.729
3,-2.063
3,-1.657
3,-2.076
3,-1.678
3,-1.766
3,-2.022
3,-1.716
3,-1.33
3,-3.047
3,-1.198
3,-3.141
3,-2.026
3,-3.251
3,-2.766
3,-2.127
3,-1.191
3,-1.879
3,-2.203
3,-1.871
3,-1.762
3,-2.114
3,-2.617
3,-2.041
3,-1.446
3,-1.844
3,-2.224
3,-3.023
3,-1.231
3,-1.001
3,-1.324
3,-2.18
3,-0.937
3,-1.862
3,-2.136
3,-1.821
3,-1.245
3,-2.025
3,-2.27
3,-1.746
3,-2.103
3,-2.224
3,-1.676
3,-1.369
3,-1.865
3,-1.841
3,-2.098
3,-1.728
3,-2.152
3,-1.959
3,-1.781
3,-1.635
3,-1.856
3,-2.037
3,-0.793
3,-2.663
3,-1.976
3,-1.851
3,-1.548
3,-1.594
3,-1.375
3,-2.372
3,-1.983
3,-1.761
3,-1.937
3,-2.559
3,-1.753
3,-0.6
3,-1.688
3,-1.605
3,-1.215
3,-2.31
3,-1.846
3,-1.919
3,-2.582
3,-2.923
3,-1.74
3,-3.141
3,-1.33
3,-2.46
3,-2.361
3,-2.727
3,-1.74
3,-2.372
3,-2.187
3,-2.339
3,-1.777
3,-2.358
3,-1.973
3,-2.094
3,-2.028
3,-1.905
3,-2.289
3,-1.001
3,-1.948
3,-2.55
3,-1.304
3,-2.81
3,-1.943
3,-2.19
3,-1.809
3,-2.509
3,-1.948
3,-1.455
3,-1.6
3,-2.81
3,-1.021
3,-1.264
3,-1.853
3,-2.357
3,-2.012
3,-2.379
3,-1.681
3,-1.795
3,-2.39
3,-2.217
3,-2.812
3,-2.625
3,-1.219
3,-1.21
3,-1.303
3,-2.825
3,-1.94
3,-1.388
3,-2.627
3,-1.85
3,-1.661
3,-1.369
3,-1.853
3,-1.177
3,-2.011
3,-2.505
3,-2.017
3,-1.262
3,-2.238
3,-2.513
3,-1.847
3,-2.333
3,-2.874
3,-1.802
3,-1.914
3,-2.002
3,-1.963
3,-3.067
3,-2.139
3,-1.611
3,-2.574
3,-2.037
3,-1.368
3,-1.574
3,-2.48
3,-2.62
3,-2.77
3,-1.608
3,-2.062
3,-1.773
3,-0.881
3,-2.073
3,-2.505
3,-2.122
3,-1.438
3,-2.187
3,-2.27
3,-1.692
3,-1.647
3,-3.085
3,-1.436
3,-2.867
3,-1.702
3,-1.708
3,-1.837
3,-1.327
3,-2.478
3,-1.971
3,-2.941
3,-1.395
3,-1.975
3,-2.145
3,-1.919
3,-1.81
3,-2.276
3,-2.183
3,-1.37
3,-2.328
3,-1.408
3,-2.925
3,-2.092
3,-2.462
3,-1.629
3,-2.461
3,-1.795
3,-2.299
3,-1.725
3,-1.69
3,-2.434
3,-1.472
3,-1.849
3,-1.793
3,-1.906
3,-2.643
3,-2.016
3,-2.032
3,-2.696
3,-2.169
3,-2.285
3,-2.301
3,-2.154
3,-3.027
3,-2.141
3,-2.835
3,-1.704
3,-2.788
3,-1.029
3,-2.727
3,-1.444
3,-1.508
3,-2.153
3,-2.57
3,-2.339
3,-1.515
3,-1.356
3,-2.242
3,-2.204
3,-2.093
3,-2.41
3,-2.009
3,-2.357
3,-1.214
3,-2.751
3,-1.587
3,-2.438
3,-2.194
3,-2.271
3,-2.278
3,-1.829
3,-2.14
3,-1.503
3,-2.075
3,-1.235
3,-1.965
3,-2.183
3,-1.596
3,-2.551
3,-2.462
3,-3.723
3,-2.059
3,-2.113
3,-2.174
3,-3.183
3,-1.831
3,-0.748
3,-2.482
3,-1.605
3,-1.25
3,-1.358
3,-2.845
3,-2.539
3,-1.431
3,-2.654
3,-2.003
3,-1.891
3,-2.593
3,-1.782
3,-1.756
3,-2.477
3,-1.882
3,-1.637
3,-2.467
3,-1.089
3,-2.739
3,-1.822
3,-2.153
3,-2.073
3,-1.828
3,-2.325
3,-1.213
3,-1.869
3,-1.708
3,-1.508
3,-2.31
3,-1.262
3,-2.788
3,-2.32
3,-1.697
3,-1.681
3,-1.935
3,-2.677
3,-1.792
3,-1.802
3,-2.876
3,-1.652
3,-1.861
3,-2.209
3,-3.094
3,-1.013
3,-2.992
3,-3.04
3,-1.948
3,-1.572
3,-1.95
3,-1.742
3,-1.958
3,-2.513
3,-1.599
3,-2.027
3,-1.605
3,-1.52
3,-1.955
3,-1.95
3,-1.474
3,-2.284
3,-0.96
3,-2.222
3,-2.618
3,-2.14
3,-1.752
3,-1.108
3,-1.687
3,-2.145
3,-1.921
3,-2.184
3,-1.818
3,-1.84
3,-2.474
3,-2.005
3,-1.76
3,-1.991
3,-2.461
3,-2.383
3,-2.652
3,-2.385
3,-1.529
3,-2.079
3,-2.112
3,-2.192
3,-1.696
3,-2.206
3,-1.737
3,-1.858
3,-2.573
3,-2.474
3,-1.539
3,-1.689
3,-1.854
3,-1.737
3,-2.021
3,-1.606
3,-2.009
3,-1.419
3,-2.55
3,-1.558
3,-1.887
3,-2.149
3,-2.666
3,-2.271
3,-1.587
3,-2.419
3,-1.902
3,-2.953
3,-1.811
3,-2.449
3,-2.2
3,-1.736
3,-1.537
3,-1.26
3,-2.184
3,-2.096
3,-1.73
3,-1.958
3,-2.4
3,-3.378
3,-1.808
3,-2.565
3,-1.508
3,-1.577
3,-2.504
3,-2.399
3,-2.333
3,-1.634
3,-1.11
3,-1.98
3,-2.014
3,-1.509
3,-2.143
3,-1.432
3,-1.899
3,-1.325
3,-1.32
3,-1.617
3,-1.834
3,-1.849
3,-1.636
3,-1.916
3,-1.166
3,-1.768
3,-1.388
3,-2.293
3,-2.254
3,-2.814
3,-1.44
3,-1.846
3,-1.699
3,-1.499
3,-2.043
3,-2.077
3,-2.02
3,-1.765
3,-2.472
3,-1.547
3,-2.317
3,-2.318
3,-1.686
3,-1.46
3,-2.514
3,-1.343
3,-2.233
3,-2.277
3,-2.298
3,-2.191
3,-2.014
3,-2.219
3,-1.853
3,-0.72
3,-1.607
3,-1.699
3,-2.443
3,-0.588
3,-1.78
3,-2.298
3,-2.168
3,-2.23
3,-2.497
3,-2.585
3,-3.055
3,-1.472
3,-1.456
3,-2.195
3,-0.845
3,-2.057
3,-2.952
3,-1.802
3,-1.841
3,-1.58
3,-3.105
3,-1.996
3,-1.799
3,-1.844
3,-1.373
3,-1.764
4,-2.428
4,-9.492
4,22.085
4,0.348
4,-11.842
4,-7.309
4,-8.679
4,62.64
4,44.868
4,-11.637
4,-3.771
4,29.815
4,-15.36
4,15.987
4,0.455
5,0.125189673891397
5,1.38523336120055
5,0.429322620182311
5,0.212162314344381
5,2.53849858158528
5,0.0429470877906383
5,0.213750440331998
5,0.178498226819449
5,0.0754198557169413
5,0.0346071701615755
5,0.233922939148145
5,0.593690952867577
5,0.492661814584328
5,0.1114755887717
5,0.0307907930444421
5,0.172568641592449
5,0.120173940724675
5,0.89772150738644
5,0.74596606566207
5,0.173593244499707
5,0.216821914516249
5,1.5891800218691
5,0.167369235779915
5,0.0851295998296377
5,0.041071852829723
6,14.9793264056741
6,9.94651187588294
6,15.2674665763255
6,13.8845630356217
6,8.13596464434396
6,14.7653089270899
6,14.6291731849595
6,14.7969618720576
6,14.4087366306153
6,13.7663572779326
6,10.6598622119613
6,14.9469153525767
6,15.1573190812576
6,14.2368187679334
6,15.1514793447424
6,14.2104606003307
6,14.7597701754904
6,15.6514683473507
6,13.5750740561385
6,14.3747480414586
6,11.8894504220706
6,11.7511740587531
6,9.52779597643649
6,12.4796653637557
6,12.1489173183854
6,14.4185190761998
6,9.77845394010427
6,9.36627661902827
6,14.8176765771228
6,14.9890294312779
6,13.4249235802475
6,11.1406605419828
6,4.23045058663751
6,10.7046446264745
6,9.46923159201099
6,11.7180597063926
6,15.1081692764447
6,15.5963596459933
6,15.5115907108641
6,14.215638443549
6,9.0884392806564
6,14.9474575322273
6,14.115836332638
6,6.8871860962774
6,14.6119609054037
6,12.8640697181931
6,15.0163249091188
6,14.6160364507469
6,14.8796015379696
6,14.1077279387237
